OBJECTID,APN,HOUSE,STREET_NAME,STREET_TYPE,ASSESSMENT,RESOURCE_NAME,ORDINANCE,Shape__Area,Shape__Length
799,00601110180000,1230,J,ST,Landmark,Public Market,82-046,42666.0957,847.6936594
800,00601250010000,1700,J,ST,Landmark,R.H. Black package Grocery Company,82-046,12445.93262,476.7783555
801,00601740160000,1619,N,ST,Landmark,Thomas Jefferson Elementary School,82-046,51250.46387,962.7440061
802,00601750210000,1725,CAPITOL,AVE,Landmark, ,3911,6286.823242,317.1816112
803,00601750240000,1717,CAPITOL,AVE,Landmark, ,3911,3961.952148,281.2615068
804,00602220270000,1228,N,ST,Landmark, ,3911,12810.08398,477.8661085
805,00602230010000,1300,N,ST,Landmark,Westminster Presbyterian Church,82-046,24776.03418,629.6213077
806,00602350050000,1712,N,ST,Landmark, ,3911,6354.916992,398.60679
807,00200100660000,401,I,ST,Landmark,Southern Pacific Railroad Sacramento Depot,82-046,824585.8633,5695.232694
808,00200820040000,1220,C,ST,Landmark,White Company Trucks,82-046,28475.9873,675.9322864
809,00200860240000,317,14TH,ST,Landmark, ,3911,2241.142578,215.6778222
810,00200920190000,1503,D,ST,Landmark, ,3911,2939.192383,220.3990481
811,00201050020000,400,8TH,ST,Landmark, ,82-029,3088.741211,239.7552426
812,00201050030000,406,8TH,ST,Landmark, ,82-029,3331.946289,245.5193025
813,00201150040000,405,11TH,ST,Landmark, ,82-029,2261.412109,209.8856858
814,00201150070000,415,11TH,ST,Landmark, ,82-029,2403.999023,198.7212039
815,00201150110000,404,12TH,ST,Landmark, ,82-046,6721.461914,328.00292
816,00201160040000,1106,E,ST,Landmark, ,82-029,2795.836914,229.7912299
817,00201160500000,1107,F,ST,Landmark, ,82-029,5487.639648,405.9905741
818,00201230110000,424,14TH,ST,Landmark, ,3911,13364.39551,488.7131686
819,00201230180000,423,13TH,ST,Landmark, ,3911,3131.376953,236.7796703
820,00201250270000,425,14TH,ST,Landmark, ,3911,3927.518555,257.6485361
821,00201260100000,516,15TH,ST,Landmark, ,3911,3268.595703,243.4207781
822,00201320240000,519,15TH,ST,Landmark, ,3911,2948.939453,233.6153384
823,00201410060000,731,6TH,ST,Landmark,SMUD Station A,82-046,19235.54297,562.0631606
824,00201450260000,720,9TH,ST,Landmark,Sacramento County Courthouse,2018-0049,107253.8105,1310.852406
825,00201630060000,1308,F,ST,Landmark, ,3911,4935.207031,385.6683641
826,00201630230000,1307,G,ST,Landmark, ,3911,3997.901367,279.4201376
827,00201640090000,1329,H,ST,Landmark, ,3916,5143.397461,289.6405986
828,00201640160000,717,13TH,ST,Landmark, ,3911,4184.611328,264.6156122
829,00201650010000,613,14TH,ST,Landmark, ,3911,3946.914063,260.3296425
830,00201650100000,1428,F,ST,Landmark, ,3911,2954.03418,229.3596414
831,00201710170000,1511,G,ST,Landmark, ,3911,9038,431.0620084
832,00201750070000,1714,F,ST,Landmark, ,3911,4358.790039,380.2057898
833,00201760140000,1717,H,ST,Landmark, ,3911,6474.256836,403.7125778
834,00301220020000,509,18TH,ST,Landmark, ,3911,3301.095703,244.2398102
835,00301220220000,1801,F,ST,Landmark, ,3911,3385.382813,246.5613123
836,00301230100000,1915,E,ST,Landmark, ,3911,6282.569336,400.7824099
837,00301250080000,2022,D,ST,Landmark, ,3911,3267.635742,241.4525774
838,00602850070000,1314,Q,ST,Landmark, ,3911,6147.856445,397.0318962
839,00602850130000,1712,14TH,ST,Landmark, ,3911,3203.860352,240.1000472
840,00602920050000,1518,Q,ST,Landmark, ,3911,6526.808594,401.6197792
841,00602920060000,1522,Q,ST,Landmark, ,3911,5647.726563,396.1585151
842,00602950030000,1700,P,ST,Landmark, ,3911,3576.149414,250.4603756
843,00602950050000,1712,P,ST,Landmark, ,3911,7983.532227,418.9944588
844,00602950140000,1630,18TH,ST,Landmark, ,82-046,3950.730469,269.2063287
845,00700160160000,923,20TH,ST,Landmark,Louis Hageman-Clothing Cleaners,82-046,2287.996094,218.4935827
846,00700230220000,819,22ND,ST,Landmark, ,3911,3205.742188,242.0288018
847,00700310180000,2401,I,ST,Landmark, ,3911,2231.219727,190.9019948
848,00700320040000,2400,I,ST,Landmark, ,3911,1699.246094,200.953223
849,00700330200000,2505,I,ST,Landmark, ,3911,3187.62793,241.0415858
850,00700360180000,2630,I,ST,Landmark, ,3911,5015.100586,311.3572713
851,00700940100000,2230,K,ST,Landmark, ,3911,3568.883789,254.7510932
852,00700950040000,2308,J,ST,Landmark, ,3911,6500.253906,406.253092
853,00701020100000,2430,K,ST,Landmark, ,3911,3861.552734,259.8900649
854,00701020230000,2401,L,ST,Landmark, ,3911,3194.048828,242.0946079
855,00701050060000,2616,J,ST,Landmark, ,3911,6606.232422,409.2520468
856,00602820200000,1200,Q,ST,Landmark,Morgan Jones Mortuary,2019-0053,3880.032227,253.018804
857,00600340200000,730,I,ST,Landmark,The Bank of America Building,2019-0018,37269.06641,815.0060023
858,01201130160000,1121,SWANSTON,DR,Landmark,Welch House,2020-0011,7303.610352,387.8972328
1176,03503140020000,1860,60TH,AVE,Landmark,James Dodd Residence,2021-0010,7467.330078,357.6029942
1177,01602920020000,5441,PLEASANT,DR,Landmark,Nathaniel Colley Residence,2021-0009,9742.685547,421.1038997
1178,00601940010000,1515,4TH,ST,Landmark,NISEI VFW Post 8985,2021-0013,8754.364258,380.11724
1496,00200100750000,105,BERCUT,DR,Landmark,"Car Shop 3 including  Air Room, Rotating Equipment Shop, Injection Shop & Materials Lift ",2007-103,4785196.244,14761.34751
1497,00200100670000,105,BERCUT,DR,Landmark,Locomotive Truck/Fabrication Shop,2007-103,154550.5732,1842.151193
1816,01302310220000,2681,MONTGOMERY WAY,WAY,Landmark,Chinn/Hveem House,2021-0029,4908.5625,296.1531052
1817,01302310170000,2751,MONTGOMERY WAY,WAY,Landmark,Montgomery Landmarks,2022-0003,7754.582031,354.4587461
1818,00801410120000,1121,40TH,ST,Landmark,,2022-0004,6921.035156,382.072844
1819,01302320120000,2770,MONTGOMERY WAY,WAY,Landmark,Montgomery Landmarks,2022-0003,10157.56934,403.1602047
1820,01302320050000,2666,MONTGOMERY WAY,WAY,Landmark,Montgomery Landmarks,2022-0003,6722.061523,336.4845106
1821,00301510220000,2701,E,ST,Landmark,,2022-0010,3304.889648,245.2892486
1822,01302310210000,2701,MONTGOMERY WAY,WAY,Landmark,Montgomery Landmarks,2022-0003,4947.268555,297.0245766
1823,01302320090000,2730,MONTGOMERY WAY,WAY,Landmark,Montgomery Landmarks,2022-0003,7754.34082,356.1443904
